TimeStamp;DriverId;CurveId
30.11.YY 02:56:59.368;1;1
30.11.YY 02:56:59.573;1;1
30.11.YY 02:56:59.775;1;1
30.11.YY 02:56:59.982;1;1
30.11.YY 02:57:00.177;1;1
30.11.YY 02:57:00.369;1;1
30.11.YY 02:57:00.568;1;1
30.11.YY 02:57:00.768;1;1
30.11.YY 02:57:00.977;1;1
30.11.YY 02:57:01.169;1;1
30.11.YY 02:57:01.394;1;1
30.11.YY 02:57:01.568;1;1
30.11.YY 02:57:01.770;1;1
30.11.YY 02:57:01.975;1;1
30.11.YY 02:57:02.170;1;1
30.11.YY 02:57:02.376;1;1
30.11.YY 02:57:02.572;1;1
30.11.YY 02:57:02.773;1;1
30.11.YY 02:57:02.972;1;1
30.11.YY 02:57:03.174;1;1
30.11.YY 02:57:03.391;1;1
30.11.YY 02:57:03.574;1;1
30.11.YY 02:57:03.772;1;1
30.11.YY 02:57:03.970;1;1
30.11.YY 02:57:04.171;1;1
30.11.YY 02:57:04.376;1;1
30.11.YY 02:57:04.570;1;1
30.11.YY 02:57:04.780;1;1
30.11.YY 02:57:04.991;1;1
30.11.YY 02:57:05.168;1;1
30.11.YY 02:57:05.378;1;1
30.11.YY 02:57:05.582;1;1
30.11.YY 02:57:05.776;1;1
30.11.YY 02:57:05.969;1;1
30.11.YY 02:57:06.186;1;1
30.11.YY 02:57:06.376;1;1
30.11.YY 02:57:06.575;1;1
30.11.YY 02:57:06.769;1;1
30.11.YY 02:57:06.972;1;1
30.11.YY 02:57:07.174;1;1
30.11.YY 02:57:07.370;1;1
30.11.YY 02:57:07.584;1;1
30.11.YY 02:57:07.774;1;1
30.11.YY 02:57:07.977;1;1
30.11.YY 02:57:08.198;1;1
30.11.YY 02:57:08.372;1;1
30.11.YY 02:57:08.572;1;1
30.11.YY 02:57:08.773;1;1
30.11.YY 02:57:08.980;1;1
30.11.YY 02:57:09.169;1;1
30.11.YY 02:57:09.372;1;1
30.11.YY 02:57:09.572;1;1
30.11.YY 02:57:09.772;1;1
